DNA_ID,Description,Name for heatmap
A0046,anti-human CD8,CD8
A0161,anti-human CD11b,CD11b
A0053,anti-human CD11c,CD11c
A0408,anti-human CD172a (SIRPα),CD172
A0391,anti-human CD45,CD45
A0159,anti-human HLA-DR,HLA-DR
A0206,"anti-human CD169 (Sialoadhesin, Siglec-1)",CD169
A0394,anti-human CD71,CD71
A0052,anti-human CD33,CD33
A0034,anti-human CD3,CD3
A0072,anti-human CD4,CD4
A0047,anti-human CD56 (NCAM),CD56
A0371,anti-human CD49b,CD49b
A0404,anti-human CD63,CD63
A0352,anti-human FcεRIα,FcεRIα
A0868,anti-human IgE,IgE
A0050,anti-human CD19,CD19
A0100,anti-human CD20,CD20
A0081,anti-human CD14,CD14
A0160,anti-human CD1c,CD1c
A0582,anti-human TCR Vδ2,TCR Vδ2
A0383,anti-human CD55,CD55
A0167,anti-human CD35,CD35
A0853,anti-human CLEC12A,CLEC12A
A0579,anti-human CD9,CD9
A0029,anti-human CD48,CD48